sku,year,make,model,body_trim,engine_transmission,id
74101AE010,2018,Toyota,86,"Base, GT",2.0L H4 - Gas,40004
74101AE010,2018,Toyota,Avalon,"Hybrid Limited, Hybrid XLE Plus, Hybrid XLE Premium, Limited, Touring, XLE, XLE Plus, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",40005
74101AE010,2018,Toyota,C-HR,"XLE, XLE Premium",2.0L L4 - Gas,40006
74101AE010,2018,Toyota,Corolla,"L, LE, LE Eco, SE, XLE, XSE",1.8L L4 - Gas,40007
74101AE010,2018,Toyota,Corolla iM,Base,1.8L L4 - Gas,40008
74101AE010,2018,Toyota,Prius C,"Four, One, Three, Two","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40009
74101AE010,2018,Toyota,RAV4,"Adventure, Hybrid Limited, Hybrid SE, Hybrid XLE, LE, Limited, Platinum, SE, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",40010
74101AE010,2018,Toyota,Sienna,"L, LE, Limited, Limited Premium, SE, SE Premium, XLE, XLE Premium",3.5L V6 - Gas,40011
74101AE010,2018,Toyota,Tacoma,"Limited, SR, SR5, TRD Off-Road, TRD Pro, TRD Sport","2.7L L4 - Gas, 3.5L V6 - Gas",40012
74101AE010,2018,Toyota,Tundra,"1794 Edition, Limited, Platinum, SR, SR5","4.6L V8 - Gas, 5.7L V8 - Flex, 5.7L V8 - Gas",40013
74101AE010,2018,Toyota,Yaris,"L, LE, SE",1.5L L4 - Gas,40014
74101AE010,2018,Toyota,Yaris iA,Base,1.5L L4 - Gas,40015
74101AE010,2017,Toyota,86,"Base, Special Edition",2.0L H4 - Gas,40016
74101AE010,2017,Toyota,Camry,"Hybrid LE, Hybrid SE, Hybrid XLE, LE, SE, XLE, XSE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas, 3.5L V6 - Gas",40017
74101AE010,2017,Toyota,Corolla,"50th Anniversary Special Edition, L, LE, LE Eco, SE, XLE, XSE",1.8L L4 - Gas,40018
74101AE010,2017,Toyota,Corolla iM,Base,1.8L L4 - Gas,40019
74101AE010,2017,Toyota,Prius C,"Four, One, Three, Two","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40020
74101AE010,2017,Toyota,Prius V,"Five, Four, Three, Two","1.8L L4 - Electric/Gas, 1.8L L4 - FULL HYBRID EV-GAS (FHEV)",40021
74101AE010,2017,Toyota,RAV4,"Hybrid Limited, Hybrid SE, Hybrid XLE, LE, Limited, Platinum, SE, XLE","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 2.5L L4 - Gas",40022
74101AE010,2017,Toyota,Sienna,"L, LE, Limited, SE, XLE",3.5L V6 - Gas,40023
74101AE010,2007,Toyota,FJ Cruiser,"Base, TRD Special Edition",4.0L V6 - Gas,40130
74101AE010,2007,Toyota,Prius,"Base, Touring","1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40131
74101AE010,2007,Toyota,RAV4,"Base, Limited, Sport","2.4L L4 - Gas, 3.5L V6 - Gas",40132
74101AE010,2007,Toyota,Sienna,"CE, LE, Limited, XLE",3.5L V6 - Gas,40133
74101AE010,2007,Toyota,Solara,"SE, SLE, Sport","2.4L L4 - Gas, 3.3L V6 - Gas",40134
74101AE010,2006,Toyota,Prius,Base,"1.5L L4 - Electric/Gas, 1.5L L4 - FULL HYBRID EV-GAS (FHEV)",40135
74101AE010,2006,Toyota,RAV4,"Base, Limited, Sport","2.4L L4 - Gas, 3.5L V6 - Gas",40136
74101AE010,2006,Toyota,Sienna,"CE, LE, Limited, XLE",3.3L V6 - Gas,40137
74101AE010,2006,Toyota,Solara,"SE, SE Sport, SLE","2.4L L4 - Gas, 3.3L V6 - Gas",40138
74101AE010,2005,Toyota,Sienna,"CE, LE, XLE, XLE Limited",3.3L V6 - Gas,40139
74101AE010,2005,Toyota,Solara,"SE, SLE","2.4L L4 - Gas, 3.3L V6 - Gas",40140
74101AE010,2004,Toyota,Sienna,"CE, LE, XLE, XLE Limited",3.3L V6 - Gas,40141
74101AE010,2004,Toyota,Solara,"SE, SLE","2.4L L4 - Gas, 3.3L V6 - Gas",40142
74101AE010,2017,Toyota,Avalon,"Hybrid Limited, Hybrid XLE Plus, Hybrid XLE Premium, Limited, Touring, XLE, XLE Plus, XLE Premium","2.5L L4 - Electric/Gas, 2.5L L4 - FULL HYBRID EV-GAS (FHEV), 3.5L V6 - Gas",46505
